locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
89,Shaoguan,,24.807342,113.602712,165,74,14,9,21,11,22,20,1015,84,1,20141101010000
90,"Chaonanzi Station, Shantou",,23.251213,116.406762,206,182,14,23,23,20,23,21,1015,88,1,20141101010000
91,Shantou,,23.350642,116.686306,153,69,12,22,32,20,23,21,1015,88,1,20141101010000
92,"City Environmental Monitoring Station, Zhanjiang",,21.220431,110.397317,55,40,20,11,3,7,24,22,1012,91,1,20141101010000
93,"EPB Dormitory, Zhanjiang",,21.197376,110.406487,63,30,19,10,4,3,24,22,1012,91,1,20141101010000
94,"Xiashan Swimming Park, Zhanjiang",,21.200431,110.415655,65,30,17,4,7,6,24,22,1012,91,1,20141101010000
95,"Zhanjiang Theatre, Zhanjiang",,21.268177,110.366445,78,50,18,9,5,21,24,22,1012,91,1,20141101010000
96,"Mazhang EPA, Zhanjiang",,21.265486,110.335993,117,56,4,16,9,10,24,22,1012,91,1,20141101010000
97,"Potou District EPB, Zhanjiang",,21.247604,110.454508,74,47,14,16,3,11,24,22,1012,91,1,20141101010000
98,Zhanjiang,,21.26832,110.363883,78,50,18,9,5,21,24,22,1012,91,1,20141101010000
99,"Maogang sub-office EPB, Maoming",,21.466435,111.033462,114,48,17,3,5,3,26,22,0,78,2,20141101010000
100,"Petrochemical No. 7 elementaty school, Maoming",,21.648905,110.937861,132,50,14,9,10,6,26,22,0,78,2,20141101010000
101,"Jiankang road, Maoming",,21.662211,110.909482,112,49,12,13,13,7,26,22,0,78,2,20141101010000
102,"Gaoling, Maoming",,21.690558,110.871146,87,53,12,12,43,6,26,22,0,78,2,20141101010000
1094,Maoming,,21.660223,110.929968,112,49,12,13,13,7,26,22,0,78,2,20141101010000
103,"Jiaying University, Meizhou",,24.325415,116.12816,161,81,7,16,6,14,23,21,1015,88,1,20141101010000
104,"Mexian new town, Meizhou",,24.269283,116.084546,169,83,3,16,7,14,23,21,1015,88,1,20141101010000
105,"Environmental Monitoring Center, Meizhou",,24.262778,116.129621,171,90,7,17,12,14,23,21,1015,88,1,20141101010000
1095,Meizhou,,24.285988,116.127065,171,90,7,17,12,14,23,21,1015,88,1,20141101010000
106,"City EPA, Shanwei",,22.772349,115.370227,142,51,28,7,7,9,22,22,1013,96,1,20141101010000
107,"City government, Shanwei",,22.787161,115.375536,142,48,26,14,9,7,22,22,1013,96,1,20141101010000
108,"Xincheng Middle School, Shanwei",,22.789851,115.367124,139,53,22,7,4,6,22,22,1013,96,1,20141101010000
1099,Shanwei,,22.783576,115.38022,139,53,22,7,8,6,22,22,1013,96,1,20141101010000
109,"No.3 elementary school, Heyuan",,23.755946,114.699091,137,53,10,27,19,8,22,20,1015,80,2,20141101010000
109,"No.3 elementary school, Heyuan",,23.75435,114.703514,137,53,10,27,19,8,22,20,1015,80,2,20141101010000
111,"City water company, Heyuan",,23.754246,114.682459,159,116,3,35,43,10,22,20,1015,80,2,20141101010000
111,"City water company, Heyuan",,23.688709,114.954652,159,116,3,35,43,10,22,20,1015,80,2,20141101010000
113,"Heyuan high school, Heyuan",,23.720666,114.693879,127,54,7,19,12,8,22,20,1015,80,2,20141101010000
113,"Heyuan high school, Heyuan",,23.720037,114.699563,127,54,7,19,12,8,22,20,1015,80,2,20141101010000
115,Heyuan,,23.740888,114.705147,127,54,7,19,12,8,22,20,1015,80,2,20141101010000
116,"Yuanyang Lake, Yangjiang",,21.855869,111.983676,151,61,15,20,2,7,24,22,1014,86,1,20141101010000
1100,Yangjiang,,21.855227,111.987308,151,61,12,20,2,7,24,22,1014,86,1,20141101010000
118,"Town governement, Qingyuan",,23.708005,113.026215,180,119,36,26,27,13,24,21,1014,83,1,20141101010000
119,"Fupin district, Qingyuan",,23.624781,113.067713,154,87,5,35,33,17,24,21,1014,83,1,20141101010000
121,"Environment protection office, Qingyuan",,23.691109,113.047948,181,116,24,30,20,13,24,21,1014,83,1,20141101010000
121,"Environment protection office, Qingyuan",,23.685931,113.053239,181,116,24,30,20,13,24,21,1014,83,1,20141101010000
